Data,State,Hail Size,Population Affected,
7/23/14,Arkansas,"1.5"" Hail",0,
7/24/14,Arkansas,"1.5"" Hail",0,
7/25/14,Arkansas,"1.5"" Hail",0,
7/26/14,Arkansas,"1.5"" Hail",0,
7/27/14,Arkansas,"1.5"" Hail",0,
7/28/14,Arkansas,"1.5"" Hail",0,
7/29/14,Arkansas,"1.5"" Hail",0,
7/30/14,Arkansas,"1.5"" Hail",0,
6/25/14,Arkansas,"2.0"" Hail",0,
6/26/14,Arkansas,"2.0"" Hail",0,
6/27/14,Arkansas,"2.0"" Hail",0,
6/28/14,Arkansas,"2.0"" Hail",0,
6/29/14,Arkansas,"2.0"" Hail",0,
6/30/14,Arkansas,"2.0"" Hail",0,
7/1/14,Arkansas,"2.0"" Hail",0,
7/2/14,Arkansas,"2.0"" Hail",0,
7/3/14,Arkansas,"2.0"" Hail",0,
7/4/14,Arkansas,"2.0"" Hail",0,
7/5/14,Arkansas,"2.0"" Hail",0,
7/6/14,Arkansas,"2.0"" Hail",0,
7/7/14,Arkansas,"2.0"" Hail",0,
7/8/14,Arkansas,"2.0"" Hail",0,
7/9/14,Arkansas,"2.0"" Hail",0,
7/10/14,Arkansas,"2.0"" Hail",0,
7/11/14,Arkansas,"2.0"" Hail",0,
7/12/14,Arkansas,"2.0"" Hail",0,
7/13/14,Arkansas,"2.0"" Hail",0,
7/14/14,Arkansas,"2.0"" Hail",0,
7/15/14,Arkansas,"2.0"" Hail",0,
7/16/14,Arkansas,"2.0"" Hail",0,
7/17/14,Arkansas,"2.0"" Hail",0,
7/18/14,Arkansas,"2.0"" Hail",0,
7/19/14,Arkansas,"2.0"" Hail",0,
7/20/14,Arkansas,"2.0"" Hail",0,
7/21/14,Arkansas,"2.0"" Hail",0,
7/22/14,Arkansas,"2.0"" Hail",0,
7/23/14,Arkansas,"2.0"" Hail",0,
7/24/14,Arkansas,"2.0"" Hail",0,
7/25/14,Arkansas,"2.0"" Hail",0,
7/26/14,Arkansas,"2.0"" Hail",0,
7/27/14,Arkansas,"2.0"" Hail",0,
7/28/14,Arkansas,"2.0"" Hail",0,
7/29/14,Arkansas,"2.0"" Hail",0,
7/30/14,Arkansas,"2.0"" Hail",0,
6/25/14,Arkansas,"2.5"" Hail",0,
6/26/14,Arkansas,"2.5"" Hail",0,
6/27/14,Arkansas,"2.5"" Hail",0,
6/28/14,Arkansas,"2.5"" Hail",0,
6/29/14,Arkansas,"2.5"" Hail",0,
6/30/14,Arkansas,"2.5"" Hail",0,
7/1/14,Arkansas,"2.5"" Hail",0,
7/2/14,Arkansas,"2.5"" Hail",0,
7/3/14,Arkansas,"2.5"" Hail",0,
7/4/14,Arkansas,"2.5"" Hail",0,
7/5/14,Arkansas,"2.5"" Hail",0,
7/6/14,Arkansas,"2.5"" Hail",0,
7/7/14,Arkansas,"2.5"" Hail",0,
7/8/14,Arkansas,"2.5"" Hail",0,
7/9/14,Arkansas,"2.5"" Hail",0,
7/10/14,Arkansas,"2.5"" Hail",0,
7/11/14,Arkansas,"2.5"" Hail",0,
7/12/14,Arkansas,"2.5"" Hail",0,
7/13/14,Arkansas,"2.5"" Hail",0,
7/14/14,Arkansas,"2.5"" Hail",0,
7/15/14,Arkansas,"2.5"" Hail",0,
7/16/14,Arkansas,"2.5"" Hail",0,
7/17/14,Arkansas,"2.5"" Hail",0,
7/18/14,Arkansas,"2.5"" Hail",0,
7/19/14,Arkansas,"2.5"" Hail",0,
7/20/14,Arkansas,"2.5"" Hail",0,
7/21/14,Arkansas,"2.5"" Hail",0,
7/22/14,Arkansas,"2.5"" Hail",0,
7/23/14,Arkansas,"2.5"" Hail",0,
7/24/14,Arkansas,"2.5"" Hail",0,
7/25/14,Arkansas,"2.5"" Hail",0,
7/26/14,Arkansas,"2.5"" Hail",0,
7/27/14,Arkansas,"2.5"" Hail",0,
7/28/14,Arkansas,"2.5"" Hail",0,
7/29/14,Arkansas,"2.5"" Hail",0,
7/30/14,Arkansas,"2.5"" Hail",0,
6/25/14,Arkansas,"3.0"" Hail",0,
6/26/14,Arkansas,"3.0"" Hail",0,
6/27/14,Arkansas,"3.0"" Hail",0,
6/28/14,Arkansas,"3.0"" Hail",0,
6/29/14,Arkansas,"3.0"" Hail",0,
6/30/14,Arkansas,"3.0"" Hail",0,
7/1/14,Arkansas,"3.0"" Hail",0,
7/2/14,Arkansas,"3.0"" Hail",0,
7/3/14,Arkansas,"3.0"" Hail",0,
7/4/14,Arkansas,"3.0"" Hail",0,
7/5/14,Arkansas,"3.0"" Hail",0,
7/6/14,Arkansas,"3.0"" Hail",0,
7/7/14,Arkansas,"3.0"" Hail",0,
7/8/14,Arkansas,"3.0"" Hail",0,
7/9/14,Arkansas,"3.0"" Hail",0,
7/10/14,Arkansas,"3.0"" Hail",0,
7/11/14,Arkansas,"3.0"" Hail",0,
7/12/14,Arkansas,"3.0"" Hail",0,
7/13/14,Arkansas,"3.0"" Hail",0,
7/14/14,Arkansas,"3.0"" Hail",0,
7/15/14,Arkansas,"3.0"" Hail",0,
7/16/14,Arkansas,"3.0"" Hail",0,
7/17/14,Arkansas,"3.0"" Hail",0,
7/18/14,Arkansas,"3.0"" Hail",0,
7/19/14,Arkansas,"3.0"" Hail",0,
7/20/14,Arkansas,"3.0"" Hail",0,
7/21/14,Arkansas,"3.0"" Hail",0,
7/22/14,Arkansas,"3.0"" Hail",0,
7/23/14,Arkansas,"3.0"" Hail",0,
7/24/14,Arkansas,"3.0"" Hail",0,
7/25/14,Arkansas,"3.0"" Hail",0,
7/26/14,Arkansas,"3.0"" Hail",0,
7/27/14,Arkansas,"3.0"" Hail",0,
7/28/14,Arkansas,"3.0"" Hail",0,
7/29/14,Arkansas,"3.0"" Hail",0,
7/30/14,Arkansas,"3.0"" Hail",0,
6/25/14,Arkansas,"3.5"" Hail",0,
6/26/14,Arkansas,"3.5"" Hail",0,
6/27/14,Arkansas,"3.5"" Hail",0,
6/28/14,Arkansas,"3.5"" Hail",0,
6/29/14,Arkansas,"3.5"" Hail",0,
6/30/14,Arkansas,"3.5"" Hail",0,
7/1/14,Arkansas,"3.5"" Hail",0,
7/2/14,Arkansas,"3.5"" Hail",0,
7/3/14,Arkansas,"3.5"" Hail",0,
7/4/14,Arkansas,"3.5"" Hail",0,
7/5/14,Arkansas,"3.5"" Hail",0,
7/6/14,Arkansas,"3.5"" Hail",0,
7/7/14,Arkansas,"3.5"" Hail",0,
7/8/14,Arkansas,"3.5"" Hail",0,
7/9/14,Arkansas,"3.5"" Hail",0,
7/10/14,Arkansas,"3.5"" Hail",0,
7/11/14,Arkansas,"3.5"" Hail",0,
7/12/14,Arkansas,"3.5"" Hail",0,
7/13/14,Arkansas,"3.5"" Hail",0,
7/14/14,Arkansas,"3.5"" Hail",0,
7/15/14,Arkansas,"3.5"" Hail",0,
7/16/14,Arkansas,"3.5"" Hail",0,
7/17/14,Arkansas,"3.5"" Hail",0,
7/18/14,Arkansas,"3.5"" Hail",0,
7/19/14,Arkansas,"3.5"" Hail",0,
7/20/14,Arkansas,"3.5"" Hail",0,
7/21/14,Arkansas,"3.5"" Hail",0,
7/22/14,Arkansas,"3.5"" Hail",0,
7/23/14,Arkansas,"3.5"" Hail",0,
7/24/14,Arkansas,"3.5"" Hail",0,
7/25/14,Arkansas,"3.5"" Hail",0,
7/26/14,Arkansas,"3.5"" Hail",0,
7/27/14,Arkansas,"3.5"" Hail",0,
7/28/14,Arkansas,"3.5"" Hail",0,
7/29/14,Arkansas,"3.5"" Hail",0,
7/30/14,Arkansas,"3.5"" Hail",0,
6/25/14,Arizona,"1.0"" Hail",0,
6/26/14,Arizona,"1.0"" Hail",0,
6/27/14,Arizona,"1.0"" Hail",0,
6/28/14,Arizona,"1.0"" Hail",0,
6/29/14,Arizona,"1.0"" Hail",0,
6/30/14,Arizona,"1.0"" Hail",0,
7/1/14,Arizona,"1.0"" Hail",0,
7/2/14,Arizona,"1.0"" Hail",0,
7/3/14,Arizona,"1.0"" Hail",0,
7/4/14,Arizona,"1.0"" Hail",0,
7/5/14,Arizona,"1.0"" Hail",0,
7/6/14,Arizona,"1.0"" Hail",0,
7/7/14,Arizona,"1.0"" Hail",1079,
7/8/14,Arizona,"1.0"" Hail",462,
7/9/14,Arizona,"1.0"" Hail",44,
7/10/14,Arizona,"1.0"" Hail",0,
7/11/14,Arizona,"1.0"" Hail",0,
7/12/14,Arizona,"1.0"" Hail",0,
7/13/14,Arizona,"1.0"" Hail",1,
7/14/14,Arizona,"1.0"" Hail",56,
7/15/14,Arizona,"1.0"" Hail",0,
7/16/14,Arizona,"1.0"" Hail",0,
7/17/14,Arizona,"1.0"" Hail",0,
7/18/14,Arizona,"1.0"" Hail",0,
7/19/14,Arizona,"1.0"" Hail",0,
7/20/14,Arizona,"1.0"" Hail",0,
7/21/14,Arizona,"1.0"" Hail",0,
7/22/14,Arizona,"1.0"" Hail",0,
7/23/14,Arizona,"1.0"" Hail",0,
7/24/14,Arizona,"1.0"" Hail",0,
7/25/14,Arizona,"1.0"" Hail",2136,
7/26/14,Arizona,"1.0"" Hail",335,
7/27/14,Arizona,"1.0"" Hail",1352,
7/28/14,Arizona,"1.0"" Hail",0,
7/29/14,Arizona,"1.0"" Hail",0,
7/30/14,Arizona,"1.0"" Hail",0,
6/25/14,Arizona,"1.5"" Hail",0,
6/26/14,Arizona,"1.5"" Hail",0,
6/27/14,Arizona,"1.5"" Hail",0,
6/28/14,Arizona,"1.5"" Hail",0,
6/29/14,Arizona,"1.5"" Hail",0,
6/30/14,Arizona,"1.5"" Hail",0,
7/1/14,Arizona,"1.5"" Hail",0,
7/2/14,Arizona,"1.5"" Hail",0,
7/3/14,Arizona,"1.5"" Hail",0,
7/4/14,Arizona,"1.5"" Hail",0,
7/5/14,Arizona,"1.5"" Hail",0,
7/6/14,Arizona,"1.5"" Hail",0,
7/7/14,Arizona,"1.5"" Hail",0,
7/8/14,Arizona,"1.5"" Hail",0,
7/9/14,Arizona,"1.5"" Hail",0,
7/10/14,Arizona,"1.5"" Hail",0,
7/11/14,Arizona,"1.5"" Hail",0,
7/12/14,Arizona,"1.5"" Hail",0,
7/13/14,Arizona,"1.5"" Hail",0,
7/14/14,Arizona,"1.5"" Hail",0,
7/15/14,Arizona,"1.5"" Hail",0,
7/16/14,Arizona,"1.5"" Hail",0,
7/17/14,Arizona,"1.5"" Hail",0,
7/18/14,Arizona,"1.5"" Hail",0,
7/19/14,Arizona,"1.5"" Hail",0,
7/20/14,Arizona,"1.5"" Hail",0,
7/21/14,Arizona,"1.5"" Hail",0,
7/22/14,Arizona,"1.5"" Hail",0,
7/23/14,Arizona,"1.5"" Hail",0,
7/24/14,Arizona,"1.5"" Hail",0,
7/25/14,Arizona,"1.5"" Hail",0,
7/26/14,Arizona,"1.5"" Hail",0,
7/27/14,Arizona,"1.5"" Hail",0,
7/28/14,Arizona,"1.5"" Hail",0,
7/29/14,Arizona,"1.5"" Hail",0,
7/30/14,Arizona,"1.5"" Hail",0,
6/25/14,Arizona,"2.0"" Hail",0,
6/26/14,Arizona,"2.0"" Hail",0,
6/27/14,Arizona,"2.0"" Hail",0,
6/28/14,Arizona,"2.0"" Hail",0,
6/29/14,Arizona,"2.0"" Hail",0,
6/30/14,Arizona,"2.0"" Hail",0,
7/1/14,Arizona,"2.0"" Hail",0,
7/2/14,Arizona,"2.0"" Hail",0,
7/3/14,Arizona,"2.0"" Hail",0,
7/4/14,Arizona,"2.0"" Hail",0,
7/5/14,Arizona,"2.0"" Hail",0,
7/6/14,Arizona,"2.0"" Hail",0,
7/7/14,Arizona,"2.0"" Hail",0,
7/8/14,Arizona,"2.0"" Hail",0,
7/9/14,Arizona,"2.0"" Hail",0,
7/10/14,Arizona,"2.0"" Hail",0,
7/11/14,Arizona,"2.0"" Hail",0,
7/12/14,Arizona,"2.0"" Hail",0,
7/13/14,Arizona,"2.0"" Hail",0,
7/14/14,Arizona,"2.0"" Hail",0,
7/15/14,Arizona,"2.0"" Hail",0,
7/16/14,Arizona,"2.0"" Hail",0,
7/17/14,Arizona,"2.0"" Hail",0,
7/18/14,Arizona,"2.0"" Hail",0,
7/19/14,Arizona,"2.0"" Hail",0,
7/20/14,Arizona,"2.0"" Hail",0,
7/21/14,Arizona,"2.0"" Hail",0,
7/22/14,Arizona,"2.0"" Hail",0,
7/23/14,Arizona,"2.0"" Hail",0,
7/24/14,Arizona,"2.0"" Hail",0,
7/25/14,Arizona,"2.0"" Hail",0,
7/26/14,Arizona,"2.0"" Hail",0,
7/27/14,Arizona,"2.0"" Hail",0,
7/28/14,Arizona,"2.0"" Hail",0,
7/29/14,Arizona,"2.0"" Hail",0,
7/30/14,Arizona,"2.0"" Hail",0,
6/25/14,Arizona,"2.5"" Hail",0,
6/26/14,Arizona,"2.5"" Hail",0,
6/27/14,Arizona,"2.5"" Hail",0,
6/28/14,Arizona,"2.5"" Hail",0,
6/29/14,Arizona,"2.5"" Hail",0,
6/30/14,Arizona,"2.5"" Hail",0,
7/1/14,Arizona,"2.5"" Hail",0,
7/2/14,Arizona,"2.5"" Hail",0,
7/3/14,Arizona,"2.5"" Hail",0,
7/4/14,Arizona,"2.5"" Hail",0,
7/5/14,Arizona,"2.5"" Hail",0,
7/6/14,Arizona,"2.5"" Hail",0,
7/7/14,Arizona,"2.5"" Hail",0,
7/8/14,Arizona,"2.5"" Hail",0,
7/9/14,Arizona,"2.5"" Hail",0,
7/10/14,Arizona,"2.5"" Hail",0,
7/11/14,Arizona,"2.5"" Hail",0,
7/12/14,Arizona,"2.5"" Hail",0,
7/13/14,Arizona,"2.5"" Hail",0,
7/14/14,Arizona,"2.5"" Hail",0,
7/15/14,Arizona,"2.5"" Hail",0,
7/16/14,Arizona,"2.5"" Hail",0,
7/17/14,Arizona,"2.5"" Hail",0,
7/18/14,Arizona,"2.5"" Hail",0,
7/19/14,Arizona,"2.5"" Hail",0,
7/20/14,Arizona,"2.5"" Hail",0,
7/21/14,Arizona,"2.5"" Hail",0,
7/22/14,Arizona,"2.5"" Hail",0,
7/23/14,Arizona,"2.5"" Hail",0,
7/24/14,Arizona,"2.5"" Hail",0,
7/25/14,Arizona,"2.5"" Hail",0,
7/26/14,Arizona,"2.5"" Hail",0,
